"Lemna_minor","Phragmites_australis","Agrostis_stolonifera","Alopecurus_geniculatus","Cerastium_holosteoides","Festuca_pratensis","Glyceria_fluitans","Holcus_lanatus","Juncus_effusus","Lolium_perenne","Phleum_pratense","Ranunculus_acris","Ranunculus_repens","Rumex_acetosa","Trifolium_repens","Taraxacum_Sec._Ruderalia","Cardamine_pratensis","Poa_trivialis","Elymus_repens","Angelica_sylvestris","Caltha_palustris","Carex_rostrata","Cirsium_palustre","Crepis_paludosa","Dactylorhiza_majalis","Epilobium_palustre","Equisetum_fluviatile","Equisetum_palustre","Festuca_rubra","Filipendula_ulmaria","Galium_uliginosum","Lathyrus_pratensis","Menyanthes_trifoliata","Poa_pratensis","Saxifraga_granulata","Stellaria_alsine","Thelypteris_palustris","Valeriana_dioica","Carex_x_elytroides","Silene_flos-cuculi","Calliergonella_cuspidata","Climacium_dendroides","Plagiomnium_affine","Alnus_glutinosa","Alnus_glutinosa","Calamagrostis_canescens","Carex_acutiformis","Carex_canescens","Dryopteris_carthusiana_ag.","Epilobium_obscurum","Galium_aparine","Lysimachia_thyrsiflora","Rubus_idaeus","Scirpus_sylvaticus","Urtica_dioica","Ranunculus_kochii","Angelica_archangelica","Berula_erecta","Calamagrostis_canescens","Cardamine_flexuosa","Carex_paniculata","Cirsium_palustre","Epilobium_palustre","Epilobium_parviflorum","Equisetum_palustre","Festuca_rubra","Galium_palustre","Lathyrus_pratensis","Lemna_minor","Lycopus_europaeus","Lysimachia_vulgaris","Mentha_aquatica","Peucedanum_palustre","Phragmites_australis","Rumex_acetosa","Stachys_palustris","Urtica_dioica","Valeriana_procurrens","Veronica_anagallis-aquatica","Poa_trivialis","Brachythecium_rutabulum","Leptobryum_pyriforme","Physcomitrium_pyriforme","Plagiomnium_ellipticum","Calliergon_stramineum","Carex_acutiformis","Epilobium_hirsutum","Filipendula_ulmaria","Galium_aparine","Achillea_ptarmica","Ajuga_reptans","Caltha_palustris","Cardamine_amara","Carex_disticha","Carex_hirta","Cerastium_holosteoides","Crepis_paludosa","Geum_rivale","Glyceria_maxima","Holcus_lanatus","Juncus_effusus","Ranunculus_acris","Ranunculus_ficaria","Ranunculus_repens","Rumex_crispus","Sagina_procumbens","Scirpus_sylvaticus","Stellaria_alsine","Carex_acuta","Lotus_pedunculatus","Silene_flos-cuculi","Bistorta_officinalis","Carex_diandra","Carex_nigra","Carex_panicea","Carex_rostrata","Dactylorhiza_majalis_s._majalis","Equisetum_fluviatile","Eupatorium_cannabinum","Festuca_rubra_s._rubra","Galium_uliginosum","Lythrum_salicaria","Menyanthes_trifoliata","Myosotis_scorpioides","Potentilla_palustris","Quercus_robur","Ranunculus_flammula","Salix_pentandra","Stellaria_palustris","Salix_cinerea","Galium_palustre_s._palustre","Calliergon_cordifolium","Calliergonella_cuspidata","Plagiomnium_elatum","Drepanocladus_revolvens","Lysimachia_thyrsiflora","Scutellaria_galericulata","Solanum_dulcamara","Thelypteris_palustris","Galium_palustre_s._elongatum","Agrostis_stolonifera","Alopecurus_pratensis","Anthoxanthum_odoratum","Bromus_hordeaceus","Deschampsia_cespitosa","Festuca_pratensis","Leontodon_autumnalis","Lolium_perenne","Phleum_pratense","Trifolium_repens","Taraxacum_Sec._Ruderalia","Cardamine_pratensis","Angelica_sylvestris","Dryopteris_cristata","Galeopsis_tetrahit_ag.","Thalictrum_flavum","Rumex_hydrolapathum","Dryopteris_carthusiana","Hydrocotyle_vulgaris","Juncus_filiformis","Viola_palustris","Aulacomnium_palustre","Sphagnum_palustre","Sphagnum_squarrosum","Cirsium_oleraceum","Lysimachia_nummularia","Phalaris_arundinacea","Poa_pratensis","Carex_canescens","Juncus_articulatus","Vicia_cracca","Epilobium_ciliatum","Persicaria_amphibia","Agrostis_canina","Alopecurus_geniculatus","Glyceria_fluitans","Bromus_racemosus","Carex_cespitosa","Cerastium_fontanum","Veronica_beccabunga","Glechoma_hederacea","Molinia_caerulea","Plantago_lanceolata","Carex_ovalis","Epilobium_tetragonum","Eriophorum_angustifolium","Releve_number","PlotObsStartDate"
"2a","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1988-7-1"
NA,NA,"2b","2m","1","1","1","3","1","2a","2m","2m","3","2m","1","2m","1","3","2m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988-7-1"
NA,NA,NA,NA,"1",NA,NA,"2m",NA,NA,NA,"+",NA,"1",NA,NA,"2m","2a",NA,"2a","1","4","1","1","+","+","1","1","3","+","2m","1","2a","1","1","+","+","2m","2b","1","3","2m","2a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1989-6-1"
NA,NA,NA,NA,"1",NA,NA,"2a","2m",NA,NA,NA,"2m",NA,NA,NA,NA,"2m",NA,NA,"2a",NA,"2m",NA,NA,"+",NA,"+",NA,"2m",NA,NA,NA,NA,NA,"2m",NA,NA,NA,"2m",NA,NA,NA,"2a","2a","3","2a","+","1","1","2a","1","2b","2m","2m","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1990-6-1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","10","2","2","62","2","1","2","2","4","2","1","20","1","10","2","1","10","1","2","2","2","2","4","4","4","4","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","1987-1-1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"4",NA,NA,NA,NA,"10","88","1","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","1990-1-1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4",NA,NA,NA,NA,"1","1",NA,NA,"4",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,"62","1","1",NA,"1","2","2","10","2","1","4","2","2","10","4","2","2","2","4","1","1","2","1","1","4","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","1983-1-1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"2",NA,NA,NA,NA,NA,NA,"10",NA,"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"2",NA,NA,NA,NA,NA,"4","1",NA,"2","10","4","4","1","2","20","4","1","1","10","4","4","1","4","2","2","1","4","4","20","38","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","1995-1-1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"4","2","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","1997-1-1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"2","4",NA,NA,NA,"20",NA,"4",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","20","20","20","10","10","4","2","2","4","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","1998-1-1"
